hs2,product_group
01,Food & Agriculture
02,Food & Agriculture
03,Food & Agriculture
04,Food & Agriculture
05,Food & Agriculture
06,Food & Agriculture
07,Food & Agriculture
08,Food & Agriculture
09,Food & Agriculture
10,Food & Agriculture
11,Food & Agriculture
12,Food & Agriculture
13,Food & Agriculture
14,Food & Agriculture
15,Food & Agriculture
16,Food & Agriculture
17,Food & Agriculture
18,Food & Agriculture
19,Food & Agriculture
20,Food & Agriculture
21,Food & Agriculture
22,Food & Agriculture
23,Food & Agriculture
24,Food & Agriculture
25,Energy & Minerals
26,Energy & Minerals
27,Energy & Minerals
28,Chemicals & Plastics
29,Chemicals & Plastics
30,Pharmaceuticals
31,Chemicals & Plastics
32,Chemicals & Plastics
33,Chemicals & Plastics
34,Chemicals & Plastics
35,Chemicals & Plastics
36,Chemicals & Plastics
37,Chemicals & Plastics
38,Chemicals & Plastics
39,Chemicals & Plastics
40,Chemicals & Plastics
41,Other Manufactured
42,Other Manufactured
43,Other Manufactured
44,Other Manufactured
45,Other Manufactured
46,Other Manufactured
47,Other Manufactured
48,Other Manufactured
49,Other Manufactured
50,Apparel & Textiles
51,Apparel & Textiles
52,Apparel & Textiles
53,Apparel & Textiles
54,Apparel & Textiles
55,Apparel & Textiles
56,Apparel & Textiles
57,Apparel & Textiles
58,Apparel & Textiles
59,Apparel & Textiles
60,Apparel & Textiles
61,Apparel & Textiles
62,Apparel & Textiles
63,Apparel & Textiles
64,Apparel & Textiles
65,Apparel & Textiles
66,Apparel & Textiles
67,Apparel & Textiles
68,Other Manufactured
69,Other Manufactured
70,Other Manufactured
71,Other Manufactured
72,Steel & Aluminum
73,Steel & Aluminum
74,Other Manufactured
75,Other Manufactured
76,Steel & Aluminum
78,Other Manufactured
79,Other Manufactured
80,Other Manufactured
81,Other Manufactured
82,Other Manufactured
83,Other Manufactured
84,Electronics & Machinery
85,Electronics & Machinery
86,Other Manufactured
87,Autos & Auto Parts
88,Other Manufactured
89,Other Manufactured
90,Other Manufactured
91,Other Manufactured
92,Other Manufactured
93,Other Manufactured
94,Other Manufactured
95,Other Manufactured
96,Other Manufactured
97,Other Manufactured
98,Other Manufactured
99,Other Manufactured
